Environment Management Training,Emissions Trading,e-Waste Reduction Initiatives,VOC Emissions Reduction Initiatives,Value - Emission Reduction/Environmental Expenditures,Emission Reduction Objectives/Targets Emissions Reduction,Environmental Partnerships,Environmental Investments Initiatives,Resource Efficiency Processes/Policy Energy Efficiency,Renewable Energy Use,Biodiversity Impact Reduction,Employee Resource Groups,EMPLOYEES NUMBER,Product Responsibility Processes/Policy Customer Health & Safety,Value - Human Rights/Policy,Human Rights Suppliers,Human Rights Processes/Policy Child Labor,Human Rights Processes/Policy Forced Labor,Product Responsibility Score,Product Responsibility Monitoring,Product Recall,Balanced Board Structure Policy Elements/Policy Board Independence,Value - Board Structure/Background and Skills,Value - Board Functions/Policy,Value - Board Structure/Board Diversity,Board Size,Value - Board Structure/Specific Skills,Balanced Board Structure Policy Elements/Policy Board Size,Value - Board Functions/Audit Committee Expertise,Different Share classes different rights,Limited Shareholder Rights to Call Meetings,Value - Shareholder Rights/Policy,Community Reputation Code of Conduct/Policy Bribery and Corruption,Executive Members Gender Diversity,CSR Sustainability Reporting,CEO Board Member,Value - Board Structure/Independent Board Members,CURRENT EV / 12M FWD SALES,SALES PER SHARE,FY1 EPS MEAN EST,Market,Type,ESG Controversies Score,ESG_Rating
1,1,1,1,1,1,1,1,1,1,1,1,161000.0,1,1,1,1,1,53.77,0,0,1,0,1,33.33,9.0,55.56,1,1,0,1,1,1,40.0,1,1,88.89,8.434,24.239,6.703,United States,@AAPL,2.38,A
0,0,0,0,0,1,1,0,0,1,1,1,6907.0,1,1,0,0,1,92.7,0,0,1,0,1,33.33,9.0,77.78,0,1,1,1,1,1,16.67,1,1,55.56,5.697,14.98,4.128,United States,@ABNB,29.26,C
1,1,0,0,0,1,0,0,1,1,1,1,6400.0,1,1,1,1,1,32.5,0,0,1,0,1,23.08,13.0,69.23,1,1,0,1,1,1,20.0,1,1,84.62,2.529,34.905,9.011,United States,@ACGL,100.0,B
0,0,1,0,0,1,1,0,1,1,0,1,29945.0,0,1,1,1,1,33.88,0,0,1,0,1,33.33,12.0,66.67,0,1,0,1,1,1,22.22,1,1,91.67,10.749,42.285,18.172,United States,@ADBE,25.19,B
1,0,0,0,0,1,1,0,1,1,1,0,26000.0,1,1,1,1,1,76.28,0,0,1,0,1,33.33,13.0,71.43,1,1,0,1,1,1,33.33,1,1,78.57,12.021,24.321,6.328,United States,@ADI,100.0,B
1,0,1,0,0,1,1,0,1,1,0,1,64000.0,0,1,0,1,1,80.14,0,0,1,0,1,36.36,11.0,25.0,1,1,0,1,1,1,22.22,1,1,91.67,3.648,46.586,10.031,United States,@ADP,100.0,A
1,0,1,0,0,1,1,1,1,1,0,1,14100.0,0,1,1,1,1,32.46,0,0,1,0,1,45.45,11.0,54.55,1,1,0,1,1,1,60.0,1,1,90.91,8.548,25.449,8.209,United States,@ADSK,28.62,A
1,0,1,0,1,1,1,1,1,1,1,1,17250.0,0,1,1,1,1,64.73,1,0,1,0,0,41.67,12.0,80.0,1,1,0,1,1,1,30.77,1,1,93.33,4.602,36.49,5.622,United States,@AEP,100.0,A
0,0,1,0,0,1,1,1,1,1,0,1,10250.0,0,1,1,1,1,33.88,0,0,1,0,1,30.0,10.0,63.64,1,1,0,1,1,1,11.11,1,1,90.91,4.324,24.53,6.434,United States,@AKAM,81.48,B
1,0,0,0,0,0,1,0,1,1,0,1,21610.0,0,1,1,1,1,41.4,0,0,1,0,1,30.0,10.0,30.0,0,1,0,1,1,1,20.0,1,1,90.0,3.922,50.442,9.383,United States,@ALGN,81.25,C
0,0,1,0,0,1,0,0,1,0,0,1,2100.0,1,1,0,0,0,97.13,0,0,1,0,1,45.45,11.0,66.67,0,1,0,1,1,1,37.5,1,1,83.33,13.157,14.637,-2.551,United States,@ALNY,100.0,B
1,0,0,0,1,1,1,1,1,1,0,1,34000.0,1,1,1,1,1,87.21,0,0,1,0,1,33.33,12.0,58.33,1,1,0,1,1,1,12.5,1,1,83.33,5.41,31.381,8.529,United States,@AMAT,100.0,A
1,0,1,0,0,1,1,0,1,1,0,1,26000.0,0,1,1,1,1,42.56,0,0,1,0,1,33.33,9.0,70.0,1,1,0,1,1,1,14.29,1,1,90.0,7.789,13.957,3.405,United States,@AMD,83.33,B
1,0,0,0,0,1,1,0,1,1,0,1,26700.0,0,1,1,1,1,77.36,1,0,0,0,1,23.08,13.0,46.15,1,1,0,1,1,1,33.33,1,1,92.31,6.893,52.398,19.493,United States,@AMGN,4.93,A
1,0,1,0,0,1,1,1,1,1,1,1,1525000.0,1,1,1,1,1,91.49,0,1,1,0,1,45.45,11.0,45.45,1,1,0,1,1,1,14.29,1,1,81.82,2.751,54.783,4.727,United States,@AMZN,1.92,A
0,0,1,0,0,0,0,0,1,1,0,1,6200.0,0,1,1,1,1,80.14,0,0,1,0,1,22.22,9.0,80.0,0,1,0,1,1,1,57.14,1,1,90.0,10.672,25.976,9.852,United States,@ANSS,75.54,B
0,0,1,0,0,1,1,0,1,1,0,1,20000.0,1,1,1,1,1,76.28,0,0,1,0,1,33.33,9.0,66.67,1,1,0,1,1,1,20.0,1,1,77.78,13.357,8.389,4.773,United States,@AVGO,25.0,A
0,0,1,0,0,0,0,0,0,0,0,1,4260.0,0,1,1,1,1,45.65,0,0,1,0,1,45.45,11.0,36.36,0,1,0,1,1,1,25.0,1,1,81.82,11.594,20.719,4.796,United States,@AXON,80.3,C
1,1,0,0,0,1,1,0,1,1,0,1,7570.0,1,1,0,1,1,96.86,1,0,1,0,0,18.18,11.0,71.43,0,1,0,1,1,1,57.14,1,1,85.71,3.725,67.552,16.144,United States,@BIIB,12.68,A
0,1,1,0,0,1,1,0,1,1,0,1,23600.0,0,1,1,1,1,16.97,0,0,1,0,1,33.33,12.0,38.46,1,1,0,1,1,1,0.0,1,1,92.31,5.481,584.862,174.9,United States,@BKNG,13.49,B
1,1,1,0,1,1,1,1,1,1,1,1,58000.0,1,1,1,1,1,96.57,0,0,1,0,1,33.33,9.0,80.0,1,1,0,1,1,1,33.33,1,1,90.0,1.314,25.129,2.215,United States,@BKR,72.73,A
1,0,0,0,0,0,0,0,1,1,0,1,3401.0,0,1,1,1,1,46.99,0,0,1,0,1,27.27,11.0,72.73,0,1,0,1,1,1,14.29,1,1,90.91,5.777,12.627,2.038,United States,@BMRN,85.21,B
1,0,0,0,1,1,1,1,1,1,1,1,32000.0,1,1,1,1,1,86.04,0,0,1,0,1,29.41,17.0,52.94,1,1,0,1,1,1,25.0,1,1,52.94,1.992,43.136,3.954,United States,@CCEP,83.33,A
1,0,1,0,0,1,1,1,1,1,0,1,11200.0,1,1,1,1,1,97.73,0,0,1,0,1,27.27,11.0,81.82,0,1,0,1,1,1,22.22,1,1,81.82,14.492,14.995,5.874,United States,@CDNS,100.0,A
1,0,1,0,0,0,1,0,1,1,0,1,15100.0,0,1,1,1,1,38.46,0,0,1,0,1,40.0,10.0,60.0,1,1,0,1,1,1,40.0,1,1,90.0,1.583,156.831,9.959,United States,@CDW,100.0,B
1,0,0,0,1,1,1,1,0,1,1,1,13871.0,0,1,1,1,1,14.11,0,0,1,0,0,36.36,11.0,45.45,0,1,0,1,1,1,10.0,1,1,90.91,2.877,76.907,7.989,United States,@CEG,100.0,B
1,0,1,0,1,1,1,1,0,1,1,0,1000.0,0,1,1,1,1,29.07,0,0,1,0,1,14.29,7.0,42.86,1,1,0,1,1,1,0.0,1,1,71.43,1.342,42.294,1.311,United States,@CHK,36.47,B
1,0,1,0,0,1,0,0,1,1,0,0,6450.0,0,1,1,1,1,33.88,0,0,1,0,1,14.29,7.0,66.67,1,1,0,1,1,1,50.0,1,1,88.89,7.602,76.365,9.097,United States,@CHKP,100.0,B
0,0,1,0,0,1,0,0,1,1,0,1,101100.0,0,0,0,0,0,67.77,0,0,1,0,1,7.14,14.0,35.71,1,1,1,1,1,1,23.08,1,1,85.71,2.76,359.336,33.648,United States,@CHTR,25.0,C
1,0,1,0,0,0,0,0,1,0,0,1,5426.0,0,1,1,1,1,32.5,0,0,1,0,0,33.33,12.0,50.0,1,1,0,1,1,1,30.77,1,1,78.57,1.985,63.333,6.574,United States,@CINF,100.0,B
1,0,1,0,1,1,1,1,1,1,0,1,186000.0,1,1,1,1,1,57.61,0,0,1,0,1,22.22,9.0,40.0,0,1,1,1,1,1,12.5,1,1,90.0,1.999,29.309,4.198,United States,@CMCSA,38.46,B
0,0,1,0,0,0,0,0,1,0,0,1,3565.0,0,1,0,1,1,42.99,0,0,1,0,1,26.09,23.0,56.52,1,1,0,1,1,1,37.5,1,1,86.96,12.783,30.192,9.892,United States,@CME,100.0,B
0,0,0,0,0,0,1,0,1,1,1,1,15000.0,0,1,1,1,1,41.4,0,0,0,0,1,55.56,9.0,66.67,1,1,0,1,1,1,12.5,1,1,88.89,5.672,18.038,3.652,United States,@COO,55.47,B
1,0,0,0,0,1,1,0,1,1,1,0,316000.0,1,1,1,1,1,63.04,0,1,1,0,1,33.33,12.0,50.0,1,1,0,1,1,1,9.09,1,1,75.0,1.418,545.143,16.341,United States,@COST,7.35,B
1,0,0,0,0,0,0,1,1,1,0,0,10200.0,1,1,1,1,1,97.32,0,0,1,0,1,18.18,11.0,63.64,1,1,0,1,1,1,20.0,1,1,81.82,2.43,4.003,1.444,United States,@CPRT,100.0,B
0,0,0,0,0,1,0,0,1,0,0,1,7925.0,0,1,0,1,1,32.46,0,0,1,0,1,33.33,9.0,44.44,1,1,1,1,1,1,20.0,0,1,77.78,14.803,12.542,3.63,United States,@CRWD,42.14,D
1,0,1,1,1,1,1,1,1,1,1,1,84900.0,0,1,1,1,1,97.42,1,0,1,0,1,45.45,11.0,58.33,1,1,0,1,1,1,40.0,1,1,91.67,3.865,13.245,3.579,United States,@CSCO,30.95,A
0,0,1,0,0,0,0,0,1,1,0,1,6152.0,0,1,1,1,1,32.46,0,0,1,0,1,33.33,9.0,44.44,1,1,0,1,1,1,14.29,1,1,88.89,9.126,6.033,0.658,United States,@CSGP,50.0,B
1,0,1,0,1,1,0,0,1,0,0,0,23000.0,0,1,1,1,1,23.01,0,0,1,0,0,27.27,11.0,41.67,1,1,0,1,1,1,25.0,1,1,83.33,5.471,7.281,1.931,United States,@CSX,32.69,B
1,0,0,0,1,1,0,1,1,0,1,1,46500.0,0,1,1,1,1,26.13,0,0,1,0,1,20.0,10.0,50.0,1,1,0,1,1,1,0.0,1,1,70.0,7.958,92.84,16.665,United States,@CTAS,100.0,B
1,0,1,0,0,1,0,0,1,1,1,1,347700.0,0,1,1,1,1,32.46,0,0,1,0,1,30.77,13.0,53.33,1,1,0,1,1,1,14.29,1,1,86.67,1.801,38.323,4.628,United States,@CTSH,35.22,B
0,0,0,0,0,0,0,0,1,0,0,1,19300.0,0,1,0,1,1,33.88,0,0,1,0,1,22.22,9.0,60.0,0,1,1,1,1,1,16.67,1,1,70.0,4.164,21.975,0.008,United States,@DASH,42.59,C
0,0,1,0,0,0,0,0,1,0,0,0,5200.0,0,1,1,1,1,33.88,0,0,1,0,1,25.0,8.0,37.5,0,1,1,1,1,1,25.0,1,1,75.0,12.357,6.076,1.647,United States,@DDOG,100.0,C
0,0,0,0,0,0,0,0,1,0,0,0,4400.0,0,0,0,0,0,16.97,0,0,0,0,1,27.27,11.0,38.46,1,1,1,1,1,0,0.0,1,1,69.23,2.798,7.923,-0.276,United States,@DKNG,37.3,D
1,0,1,0,0,1,0,1,1,0,0,1,211826.0,1,1,1,1,1,72.28,1,1,1,0,1,33.33,12.0,50.0,1,1,0,1,1,1,20.0,1,1,83.33,0.651,139.425,6.555,United States,@DLTR,10.29,B
0,0,1,0,0,1,1,0,0,0,0,1,6840.0,0,1,0,1,1,32.46,0,0,1,0,1,22.22,9.0,90.0,0,1,0,1,1,1,45.45,1,1,80.0,3.649,13.218,3.244,United States,@DOCU,81.76,C
1,1,1,0,0,1,0,1,1,1,0,1,30695.0,0,1,1,1,1,33.88,0,0,1,0,1,18.18,11.0,72.73,1,1,0,1,1,1,25.0,1,1,54.55,1.908,41.249,6.442,United States,@DOX,100.0,B
1,0,1,0,0,0,0,0,1,0,0,1,9600.0,1,1,0,1,1,90.68,1,0,1,0,1,36.36,11.0,50.0,1,1,0,1,1,1,28.57,1,1,91.67,6.227,8.513,1.701,United States,@DXCM,28.57,B
1,0,1,0,0,1,1,0,1,1,0,1,13700.0,0,1,1,1,1,32.46,0,0,1,0,1,37.5,8.0,44.44,0,1,0,1,1,1,28.57,1,1,88.89,4.991,27.801,7.58,United States,@EA,57.86,B
0,0,0,0,0,1,1,0,1,1,1,0,12300.0,0,1,1,1,1,33.88,0,0,1,0,1,33.33,9.0,28.57,1,1,0,1,1,1,33.33,1,1,92.86,2.613,18.972,4.822,United States,@EBAY,4.07,B
0,0,1,0,0,1,0,0,1,1,0,0,3157.0,0,1,1,1,1,45.39,0,0,1,0,1,14.29,7.0,42.86,0,1,0,1,1,1,25.0,1,1,85.71,8.802,15.987,2.575,United States,@ENPH,27.5,B
0,0,0,0,0,1,0,0,1,1,0,1,8000.0,0,1,1,1,1,29.77,0,0,1,0,1,25.0,8.0,75.0,1,1,0,1,1,1,6.67,1,1,87.5,5.998,23.346,3.136,United States,@ENTG,100.0,C
0,0,0,0,0,1,1,0,1,1,0,1,13151.0,0,1,1,0,0,38.37,0,0,1,0,1,36.36,11.0,36.36,0,1,0,1,1,1,22.22,1,1,81.82,10.083,87.099,11.29,United States,@EQIX,32.14,B
1,0,1,0,1,1,1,1,1,1,1,0,4658.0,0,1,1,1,1,60.58,0,0,1,0,1,33.33,12.0,71.43,1,1,0,1,1,1,30.0,1,1,85.71,4.515,23.897,3.838,United States,@EVRG,100.0,B
0,0,1,0,1,1,1,1,0,1,1,1,19962.0,1,1,1,0,0,97.72,1,0,1,0,0,37.5,8.0,64.29,1,1,0,1,1,1,20.0,1,1,92.86,3.582,21.792,2.448,United States,@EXC,41.25,B
0,0,1,0,0,1,1,0,1,1,0,1,17100.0,0,1,1,1,1,16.97,0,0,0,0,0,36.36,11.0,33.33,0,1,1,1,1,1,20.0,1,1,66.67,1.393,85.463,11.771,United States,@EXPE,37.3,B
1,0,0,1,0,1,1,0,1,1,1,0,1023.0,0,1,1,1,1,29.07,0,0,1,0,1,30.0,10.0,70.0,1,1,0,1,1,1,17.65,1,1,90.0,3.062,46.734,19.057,United States,@FANG,27.65,B
1,0,1,0,1,1,1,1,1,0,0,0,23201.0,0,1,1,1,1,34.65,0,0,1,0,1,30.0,10.0,70.0,1,1,0,1,1,0,20.0,1,1,70.0,4.922,12.821,2.043,United States,@FAST,100.0,B
0,0,0,0,0,0,0,0,0,0,0,0,16021.0,0,0,0,0,0,26.23,0,0,1,0,1,16.67,12.0,50.0,1,1,1,1,1,1,22.22,0,1,71.43,7.447,869.212,200.174,United States,@FCNCA,100.0,D
0,0,0,0,0,1,0,0,1,1,0,1,6524.0,0,1,1,1,1,78.0,0,0,1,0,1,27.27,11.0,61.54,1,1,0,1,1,1,33.33,0,1,92.31,3.799,46.676,13.149,United States,@FFIV,100.0,B
0,1,1,0,0,1,1,0,1,1,1,1,18724.0,0,1,1,1,1,72.51,0,0,1,0,1,31.25,16.0,43.75,1,1,0,1,1,1,26.67,1,1,81.25,5.341,18.301,3.227,United States,@FITB,75.81,B
1,1,1,0,1,1,1,1,1,1,0,1,148115.0,0,1,1,1,1,7.67,0,0,1,0,1,25.0,12.0,66.67,1,1,0,1,1,1,28.57,1,1,91.67,0.515,81.701,2.427,United States,@FLEX,60.53,A
1,0,1,0,0,1,0,0,1,1,1,0,6700.0,0,1,1,1,1,83.55,0,0,1,0,1,25.0,12.0,50.0,1,1,0,1,1,1,11.11,1,1,85.71,4.326,30.908,13.576,United States,@FSLR,32.5,B
1,0,1,0,0,1,0,0,1,1,0,1,13568.0,0,1,1,1,1,33.88,0,0,1,0,1,25.0,8.0,77.78,1,1,0,1,1,1,0.0,1,1,77.78,9.029,6.73,2.036,United States,@FTNT,100.0,B
0,0,0,0,0,1,0,0,1,0,0,1,6400.0,1,1,0,1,1,77.86,0,0,1,0,1,11.11,9.0,66.67,1,1,1,1,1,1,25.0,1,1,66.67,8.103,13.733,1.061,United States,@FWONK,100.0,C
0,0,1,0,0,1,0,0,1,1,1,0,51000.0,0,1,1,1,1,10.83,0,0,1,0,0,100.0,1.0,100.0,0,0,0,1,1,1,0.0,1,0,100.0,2.24,42.69,4.244,United States,@GEHC,81.25,C
1,0,0,0,0,1,1,0,1,1,0,1,3400.0,0,1,1,1,1,32.46,0,0,1,0,1,40.0,10.0,45.45,1,1,0,1,1,1,25.0,1,1,81.82,6.065,5.938,2.206,United States,@GEN,100.0,B
1,0,1,0,0,1,0,0,1,1,0,1,18000.0,1,1,1,1,1,91.75,0,0,1,0,1,33.33,9.0,33.33,1,1,0,1,1,1,42.86,1,1,88.89,4.162,21.555,3.833,United States,@GILD,35.92,A
1,0,0,0,0,0,0,0,0,0,0,0,18.0,1,1,1,1,1,92.11,1,0,1,0,1,25.0,8.0,75.0,1,1,0,1,1,1,20.0,0,1,87.5,12.958,5.436,2.908,United States,@GLPI,100.0,C
0,1,1,0,0,1,1,1,1,1,1,1,182502.0,1,1,1,1,1,92.7,0,1,1,0,1,27.27,11.0,50.0,1,1,1,1,1,1,20.0,1,1,75.0,5.154,24.162,7.659,United States,@GOOG,0.37,A
1,0,1,0,0,1,1,0,1,1,0,1,19955.0,0,1,1,1,1,72.51,0,0,1,0,1,31.25,16.0,55.56,1,1,0,1,1,1,28.57,1,1,83.33,4.659,7.343,1.176,United States,@HBAN,100.0,B
0,0,1,0,0,1,0,0,1,1,0,0,6990.0,0,1,1,1,1,62.9,0,0,1,0,1,37.5,8.0,75.0,1,1,0,1,1,1,22.22,1,1,87.5,4.483,16.197,4.079,United States,@HOLX,100.0,B
1,1,0,0,1,1,1,0,1,1,1,1,95000.0,1,1,1,1,1,75.37,0,0,1,0,0,36.36,11.0,38.46,1,1,0,1,1,1,15.38,1,1,84.62,3.598,54.867,10.157,United States,@HON,22.73,A
0,0,1,0,1,1,1,1,1,1,1,1,163.0,0,1,1,1,1,38.37,0,0,1,0,1,33.33,9.0,80.0,1,1,0,1,1,1,25.0,1,1,80.0,2.674,7.451,0.991,United States,@HST,100.0,A
0,0,0,0,0,0,0,0,1,1,0,0,2932.0,0,0,0,0,0,42.99,0,0,1,0,1,20.0,10.0,45.45,1,1,0,1,1,1,0.0,0,1,72.73,14.297,73.465,6.9,United States,@IBKR,78.43,C
1,0,1,0,0,1,1,0,1,1,0,1,11000.0,1,1,1,1,1,84.55,0,0,1,0,1,30.0,10.0,70.0,1,1,0,1,1,1,25.0,1,1,80.0,9.675,43.594,10.507,United States,@IDXX,100.0,B
1,0,1,0,0,1,1,0,1,1,1,1,10640.0,1,1,1,1,1,90.68,1,0,1,0,1,27.27,11.0,69.23,0,1,0,1,1,1,44.44,1,1,84.62,4.752,28.506,3.891,United States,@ILMN,8.57,B
0,0,0,0,0,1,0,0,1,1,1,0,2524.0,0,0,0,0,0,46.99,0,0,1,0,1,33.33,9.0,50.0,1,1,0,1,1,1,30.0,1,1,90.0,2.042,16.358,1.553,United States,@INCY,85.21,B
1,1,1,1,1,1,1,1,1,1,1,1,124800.0,1,1,1,1,1,76.28,0,0,1,0,1,41.67,12.0,33.33,1,1,0,1,1,1,57.14,1,1,83.33,2.238,12.875,0.267,United States,@INTC,2.78,A
1,0,1,0,0,1,1,1,1,1,0,1,18200.0,0,1,1,1,1,97.62,0,0,1,0,1,33.33,12.0,41.67,1,1,0,1,1,1,50.0,1,1,75.0,2.43,57.342,19.339,United States,@INTU,50.0,A
1,0,1,1,0,0,0,0,1,1,0,1,13676.0,0,1,1,1,1,10.83,0,0,1,0,1,36.36,11.0,54.55,1,1,0,1,1,1,22.22,1,1,90.91,18.933,19.933,6.644,United States,@ISRG,100.0,B
1,0,0,0,1,1,1,1,1,1,0,1,34718.0,1,1,1,1,1,78.41,0,0,1,0,1,25.0,12.0,41.67,1,1,0,1,1,1,13.33,1,1,66.67,1.517,122.83,5.678,United States,@JBHT,100.0,A
1,0,1,0,0,0,0,0,1,1,0,0,7170.0,0,1,1,1,1,32.46,0,0,1,0,0,33.33,9.0,55.56,1,1,0,1,1,1,33.33,1,1,88.89,5.295,30.34,5.826,United States,@JKHY,100.0,B
0,0,0,0,0,1,1,0,1,1,0,1,28100.0,1,1,1,1,1,66.22,0,0,0,0,0,33.33,12.0,62.5,0,1,0,1,1,1,22.22,1,1,62.5,4.016,10.518,1.923,United States,@KDP,100.0,B
0,0,0,0,0,1,1,0,1,1,0,1,36000.0,1,1,1,1,1,68.48,0,1,1,0,1,36.36,11.0,50.0,1,1,0,1,1,1,33.33,1,1,92.86,2.333,21.571,3.024,United States,@KHC,14.08,B
1,0,0,0,1,1,0,0,1,1,0,1,15230.0,0,1,1,1,1,5.12,0,0,1,0,1,27.27,11.0,45.45,1,1,0,1,1,1,14.29,1,1,90.91,9.607,72.05,29.76,United States,@KLAC,100.0,B
1,0,0,1,0,1,0,0,1,1,0,1,12000.0,1,1,1,1,1,81.53,0,0,1,0,1,30.0,10.0,38.46,1,1,0,1,1,1,30.0,1,1,92.31,2.782,71.995,9.095,United States,@LECO,100.0,B
1,1,0,1,1,1,1,1,1,1,1,1,66323.0,1,1,1,1,1,89.07,1,0,1,0,1,20.0,10.0,53.33,1,1,0,1,1,1,9.09,1,1,86.67,7.072,66.737,15.53,United States,@LIN,70.54,A
1,0,0,0,0,1,1,0,1,1,0,0,49000.0,0,1,0,1,1,27.56,0,0,1,0,1,27.27,11.0,54.55,0,1,0,1,1,1,10.0,1,1,81.82,1.004,51.681,3.571,United States,@LKQ,100.0,C
1,0,1,0,1,1,1,1,1,1,1,1,3281.0,0,1,0,1,1,14.11,0,0,1,0,1,40.0,10.0,60.0,1,1,0,1,1,1,14.29,1,1,90.0,5.759,15.898,3.056,United States,@LNT,100.0,B
1,0,1,0,1,0,0,1,1,1,0,1,8400.0,0,1,1,1,1,42.99,0,0,1,0,1,33.33,9.0,44.44,1,1,0,1,1,1,22.22,1,1,88.89,1.364,129.113,15.939,United States,@LPLA,18.63,B
0,0,1,0,1,1,1,1,1,1,1,1,17450.0,1,1,1,1,1,74.31,0,0,1,0,1,30.0,10.0,54.55,1,1,0,1,1,1,14.29,1,1,90.91,5.877,112.924,35.914,United States,@LRCX,59.09,A
1,0,0,0,0,1,0,0,1,0,0,0,1156.0,0,1,1,0,0,5.12,0,0,1,0,1,37.5,8.0,77.78,1,1,0,1,1,1,28.57,1,1,88.89,10.998,5.273,1.005,United States,@LSCC,100.0,C
0,0,0,0,0,1,1,0,1,1,0,1,38000.0,0,1,1,1,1,11.22,0,0,1,0,1,54.55,11.0,58.33,1,1,0,1,1,1,66.67,1,1,91.67,2.699,102.403,14.012,United States,@LULU,8.0,B
0,0,0,0,0,0,1,0,0,0,0,1,4580.0,0,1,0,1,1,33.88,0,0,0,0,1,25.0,8.0,75.0,0,1,0,1,1,1,33.33,1,1,87.5,14.226,14.834,4.287,United States,@MANH,100.0,C
1,0,0,0,1,1,1,1,1,1,1,0,148000.0,1,1,1,1,1,83.21,1,0,1,0,1,41.67,12.0,50.0,1,1,0,1,1,1,36.36,1,1,71.43,2.969,20.799,9.342,United States,@MAR,5.56,A
1,0,1,0,1,1,1,1,1,1,0,0,22300.0,0,1,1,1,1,61.01,0,0,1,0,1,25.0,8.0,75.0,1,1,0,1,1,1,0.0,1,1,75.0,9.216,13.931,1.995,United States,@MCHP,84.09,B
1,0,0,0,0,1,0,0,1,1,0,1,5037.0,0,0,0,0,0,32.46,0,0,1,0,1,22.22,9.0,66.67,0,1,0,1,1,1,0.0,1,1,77.78,10.765,23.622,2.392,United States,@MDB,15.72,C
1,1,0,0,1,1,1,1,1,1,1,0,91000.0,1,1,1,1,1,92.12,0,1,1,0,0,40.0,10.0,53.85,1,1,0,1,1,1,27.27,1,1,92.31,3.009,26.289,3.494,United States,@MDLZ,26.76,A
0,0,0,0,0,0,1,1,1,1,1,1,58313.0,1,1,0,0,0,97.73,0,0,1,0,1,22.22,9.0,50.0,0,1,0,1,1,1,0.0,1,1,80.0,4.405,78460.327,36.077,United States,@MELI,49.26,B
1,1,1,0,0,1,1,0,1,1,1,1,67317.0,0,1,1,1,1,33.88,0,0,1,0,1,44.44,9.0,90.0,1,1,1,1,1,1,40.0,1,1,80.0,7.212,51.313,21.207,United States,@META,1.11,B
0,0,0,0,0,0,1,0,1,1,0,0,6003.0,0,1,1,1,1,25.24,0,0,1,0,1,20.0,10.0,63.64,1,1,0,1,1,0,20.0,1,1,72.73,5.428,6.749,1.676,United States,@MNST,100.0,C
0,0,0,0,0,1,0,0,1,1,0,0,3564.0,0,1,1,1,1,44.42,0,0,1,0,1,14.29,7.0,42.86,1,1,0,1,1,1,20.0,1,1,85.71,17.915,37.339,13.987,United States,@MPWR,100.0,C
0,0,0,0,0,1,0,0,1,1,0,1,5600.0,0,1,1,1,1,72.13,0,1,1,0,1,33.33,9.0,88.89,0,1,0,1,1,1,44.44,1,1,88.89,6.048,17.927,-9.245,United States,@MRNA,54.35,A
1,0,1,0,0,0,0,0,1,1,0,0,6577.0,0,1,1,1,1,5.28,0,0,1,0,1,27.27,11.0,66.67,1,1,0,1,1,1,10.0,1,1,91.67,10.414,6.395,1.439,United States,@MRVL,100.0,B
1,1,1,1,0,1,1,1,1,1,0,1,228000.0,1,1,1,1,1,97.73,1,0,1,0,1,41.67,12.0,66.67,1,1,0,1,1,1,28.57,1,1,91.67,10.866,32.819,13.076,United States,@MSFT,2.59,A
0,0,0,0,0,0,0,0,0,0,0,0,1934.0,0,0,0,0,0,33.88,0,0,1,0,0,0.0,6.0,66.67,1,1,1,1,1,1,0.0,0,1,66.67,57.666,2.996,-0.784,United States,@MSTR,56.67,D
1,1,0,0,1,1,1,1,1,1,0,1,43000.0,0,1,1,1,1,29.77,0,0,1,0,0,50.0,8.0,75.0,1,1,0,1,1,1,12.5,1,1,87.5,2.43,14.218,1.219,United States,@MU,25.0,B
1,0,0,0,0,0,0,0,0,0,0,1,1400.0,0,1,1,1,0,72.13,0,0,1,0,1,33.33,9.0,77.78,1,1,0,1,1,1,30.0,1,1,88.89,4.626,18.684,4.575,United States,@NBIX,100.0,C
1,0,0,0,0,1,0,0,1,1,0,1,8525.0,0,1,1,1,1,42.99,0,0,1,0,1,36.36,11.0,50.0,1,1,0,1,1,1,23.08,1,1,91.67,10.481,11.928,2.754,United States,@NDAQ,100.0,A
0,1,0,0,1,1,1,1,1,1,1,1,7900.0,1,1,1,1,1,72.09,0,0,1,0,1,33.33,9.0,60.0,1,1,0,1,1,1,25.0,1,1,90.0,5.644,45.611,9.549,United States,@NDSN,100.0,B
0,1,0,0,0,1,1,0,1,1,0,1,13000.0,0,1,1,0,0,33.88,0,0,1,0,1,33.33,12.0,38.46,0,1,0,1,1,1,28.57,1,1,76.92,7.371,75.024,19.106,United States,@NFLX,3.33,C
0,0,1,0,1,1,0,1,1,1,0,1,11800.0,0,1,1,1,1,57.55,0,0,1,0,1,33.33,9.0,55.56,0,1,0,1,1,1,33.33,1,1,88.89,3.557,29.427,7.107,United States,@NTAP,77.59,B
0,0,0,0,0,0,0,0,1,1,0,1,6450.0,0,1,1,0,0,33.88,0,0,1,0,1,25.0,8.0,75.0,1,1,0,1,1,1,42.86,1,1,87.5,2.43,8.78,1.428,United States,@NTNX,29.26,B
1,0,0,0,0,1,1,0,1,1,0,1,23100.0,0,1,1,1,1,42.99,0,0,1,0,0,25.0,12.0,58.33,1,1,0,1,1,1,36.36,1,1,91.67,4.197,58.375,6.987,United States,@NTRS,100.0,B
